,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0,0050,元大台灣50,"24,714,046","26,235","3,413,371,452",138.20,139.00,135.00,137.45,X,0.0,137.45,78,137.50,153,0.00
1,0051,元大中型100,"73,357",50,"3,299,870",44.62,45.39,44.62,45.39,+,0.77,45.39,4,45.40,7,0.00
2,0052,富邦科技,"2,937,391","2,815","395,644,367",132.75,136.00,132.40,135.90,-,0.55,135.90,1,135.95,3,0.00
3,0053,元大電子,"78,166",63,"5,285,440",67.20,68.00,67.20,67.50,-,0.8,67.45,1,67.85,1,0.00
4,0054,元大台商50,"27,000",9,"821,820",30.32,30.54,30.32,30.54,+,0.27,30.49,56,30.58,1,0.00
5,0055,元大MSCI金融,"54,000",25,"954,090",17.75,17.75,17.61,17.65,-,0.07,17.63,1,17.65,52,0.00
6,0056,元大高股息,"12,875,370","6,227","391,996,588",30.25,30.58,30.23,30.53,+,0.23,30.53,12,30.54,11,0.00
7,0057,富邦摩台,"43,012",10,"3,962,922",92.10,92.20,91.70,92.20,-,1.3,91.70,3,91.80,9,0.00
8,0061,元大寶滬深,"250,330",110,"6,339,929",25.50,25.50,25.23,25.31,-,0.24,25.31,21,25.32,1,0.00
9,006203,元大MSCI台灣,"15,281",22,"978,217",64.50,64.50,63.45,63.90,X,0.0,63.80,36,64.00,10,0.00
10,006204,永豐臺灣加權,"3,086",7,"247,793",80.35,80.35,80.30,80.30,+,0.2,79.95,10,80.20,10,0.00
11,006205,富邦上証,"1,127,247",189,"45,908,562",41.07,41.07,40.61,40.78,-,0.29,40.78,150,40.80,10,0.00
12,006206,元大上證50,"333,153",68,"13,886,314",42.00,42.00,41.54,41.69,-,0.31,41.69,20,41.75,11,0.00
13,006207,FH滬深,"376,882",57,"12,528,008",33.26,33.34,32.95,33.16,-,0.22,33.15,2,33.16,19,0.00
14,006208,富邦台50,"2,675,859","3,252","212,636,926",79.00,80.00,78.90,79.20,-,1.0,79.20,45,79.25,17,0.00
15,00625K,富邦上証+R,"20,000",2,"189,400",9.47,9.47,9.47,9.47,-,0.08,9.29,5,9.54,2,0.00
16,00631L,元大台灣50正2,"6,168,869","1,653","677,617,657",109.50,110.70,108.50,109.50,-,1.65,109.45,4,109.50,326,0.00
17,00632R,元大台灣50反1,"137,422,428","8,703","872,705,139",6.37,6.39,6.32,6.34,+,0.03,6.34,"12,333",6.35,809,0.00
18,00633L,富邦上証正2,"6,199,010","1,205","489,417,349",79.30,79.55,78.20,78.90,-,1.2,78.90,725,78.95,11,0.00
19,00634R,富邦上証反1,"384,000",50,"1,437,370",3.72,3.76,3.72,3.74,+,0.03,3.73,605,3.74,5,0.00
20,00635U,元大S&P黃金,"556,716",212,"14,019,191",25.25,25.25,25.15,25.18,-,0.12,25.17,10,25.18,40,0.00
21,00636,國泰中國A50,"889,545",324,"25,944,123",29.35,29.35,29.00,29.19,-,0.16,29.14,25,29.19,70,0.00
